code,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
S94,1.0,-14.02,0,-14.02,0.0,0.0,-14.02,0.0,-14.02,0.0,-14.02,0.0,1.0
S90,1.0,-14.0,0,-14.0,0.0,0.0,-14.0,0.0,-14.0,0.0,-14.0,0.0,1.0
S77,6.0,-11.31,4.17,-15.48,33.33333333333333,0.2693798449612403,-1.885,2.085,-3.87,3.92,-6.49,2.0,4.0
S84,3.0,-9.45,3.18,-12.629999999999999,33.33333333333333,0.2517814726840855,-3.15,3.18,-6.3149999999999995,3.18,-6.72,1.0,2.0
S91,1.0,-9.24,0,-9.24,0.0,0.0,-9.24,0.0,-9.24,0.0,-9.24,0.0,1.0
S71,5.0,-7.9,9.0,-16.9,40.0,0.5325443786982249,-1.58,4.5,-5.633333333333333,4.56,-9.57,2.0,3.0
S75,7.0,-6.32,14.95,-21.27,42.857142857142854,0.7028678890456042,-0.9028571428571429,4.983333333333333,-5.3175,6.19,-10.9,3.0,4.0
S89,3.0,-6.0,4.42,-10.42,33.33333333333333,0.42418426103646834,-2.0,4.42,-5.21,4.42,-7.27,1.0,2.0
S79,3.0,-5.64,2.33,-7.97,33.33333333333333,0.29234629861982436,-1.88,2.33,-3.985,2.33,-4.01,1.0,2.0
S88,1.0,-5.44,0,-5.44,0.0,0.0,-5.44,0.0,-5.44,0.0,-5.44,0.0,1.0
S87,3.0,-5.200000000000001,7.51,-12.71,33.33333333333333,0.5908733280881195,-1.7333333333333336,7.51,-6.355,7.51,-8.39,1.0,2.0
S66,2.0,-5.109999999999999,0,-5.109999999999999,0.0,0.0,-2.5549999999999997,0.0,-2.5549999999999997,0.0,-2.67,0.0,2.0
S76,6.0,-5.0,10.69,-15.69,33.33333333333333,0.6813256851497769,-0.8333333333333334,5.345,-3.9225,6.55,-6.76,2.0,4.0
S65,4.0,-4.85,2.56,-7.41,50.0,0.34547908232118757,-1.2125,1.28,-3.705,2.39,-4.04,2.0,2.0
S86,2.0,-2.89,1.9,-4.79,50.0,0.3966597077244259,-1.445,1.9,-4.79,1.9,-4.79,1.0,1.0
S80,6.0,-2.5100000000000007,7.42,-9.93,66.66666666666666,0.7472306143001007,-0.41833333333333345,1.855,-4.965,3.59,-5.44,4.0,2.0
S82,5.0,-1.4400000000000002,7.9799999999999995,-9.42,80.0,0.8471337579617834,-0.28800000000000003,1.9949999999999999,-9.42,3.82,-9.42,4.0,1.0
S74,8.0,0.3100000000000006,16.81,-16.5,50.0,1.0187878787878788,0.038750000000000076,4.2025,-4.125,9.99,-5.96,4.0,4.0
S93,1.0,1.28,1.28,0,100.0,0.0,1.28,1.28,0.0,1.28,0.0,1.0,0.0
S69,4.0,1.95,1.95,0,100.0,0.0,0.4875,0.4875,0.0,1.44,0.0,4.0,0.0
S67,1.0,2.66,2.66,0,100.0,0.0,2.66,2.66,0.0,2.66,0.0,1.0,0.0
S70,1.0,3.25,3.25,0,100.0,0.0,3.25,3.25,0.0,3.25,0.0,1.0,0.0
S92,1.0,3.33,3.33,0,100.0,0.0,3.33,3.33,0.0,3.33,0.0,1.0,0.0
S78,5.0,4.5,12.34,-7.84,60.0,1.5739795918367347,0.9,4.113333333333333,-3.92,10.34,-5.03,3.0,2.0
S72,6.0,4.790000000000001,10.01,-5.22,83.33333333333334,1.917624521072797,0.7983333333333335,2.002,-5.22,4.99,-5.22,5.0,1.0
S85,3.0,4.9,10.39,-5.49,66.66666666666666,1.8925318761384335,1.6333333333333335,5.195,-5.49,8.97,-5.49,2.0,1.0
S96,1.0,5.11,5.11,0,100.0,0.0,5.11,5.11,0.0,5.11,0.0,1.0,0.0
S68,4.0,7.049999999999999,16.7,-9.65,75.0,1.7305699481865284,1.7624999999999997,5.566666666666666,-9.65,11.76,-9.65,3.0,1.0
S73,4.0,18.990000000000002,18.990000000000002,0,100.0,0.0,4.7475000000000005,4.7475000000000005,0.0,10.13,0.0,4.0,0.0
S83,5.0,19.650000000000002,29.96,-10.31,60.0,2.905916585838991,3.9300000000000006,9.986666666666666,-5.155,12.13,-6.95,3.0,2.0
S81,3.0,25.22,25.22,0,100.0,0.0,8.406666666666666,8.406666666666666,0.0,11.64,0.0,3.0,0.0
