engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
BO,9,2.0,-18.509999999999998,0,-18.509999999999998,0.0,0.0,-9.254999999999999,0.0,-9.254999999999999,0.0,-14.02,0.0,2.0
PB,16,3.0,-12.13,3.59,-15.72,33.33333333333333,0.2283715012722646,-4.043333333333334,3.59,-7.86,3.59,-9.57,1.0,2.0
PB,2,4.0,-11.889999999999999,0.17,-12.059999999999999,25.0,0.014096185737976785,-2.9724999999999997,0.17,-4.02,0.17,-6.72,1.0,3.0
BO,5,2.0,-11.540000000000001,0,-11.540000000000001,0.0,0.0,-5.7700000000000005,0.0,-5.7700000000000005,0.0,-8.39,0.0,2.0
PB,11,5.0,-11.030000000000001,6.48,-17.51,20.0,0.3700742432895488,-2.2060000000000004,6.48,-4.3775,6.48,-6.49,1.0,4.0
BO,1,2.0,-9.58,4.42,-14.0,50.0,0.3157142857142857,-4.79,4.42,-14.0,4.42,-14.0,1.0,1.0
BO,10,1.0,-9.42,0,-9.42,0.0,0.0,-9.42,0.0,-9.42,0.0,-9.42,0.0,1.0
BO,21,1.0,-9.24,0,-9.24,0.0,0.0,-9.24,0.0,-9.24,0.0,-9.24,0.0,1.0
PB,15,4.0,-7.69,6.25,-13.940000000000001,50.0,0.44835007173601144,-1.9225,3.125,-6.970000000000001,3.92,-10.9,2.0,2.0
BO,11,1.0,-7.27,0,-7.27,0.0,0.0,-7.27,0.0,-7.27,0.0,-7.27,0.0,1.0
RV,7,1.0,-6.76,0,-6.76,0.0,0.0,-6.76,0.0,-6.76,0.0,-6.76,0.0,1.0
PB,13,3.0,-6.62,2.66,-9.280000000000001,33.33333333333333,0.28663793103448276,-2.2066666666666666,2.66,-4.640000000000001,2.66,-5.49,1.0,2.0
PB,12,1.0,-5.96,0,-5.96,0.0,0.0,-5.96,0.0,-5.96,0.0,-5.96,0.0,1.0
RV,8,2.0,-5.54,0,-5.54,0.0,0.0,-2.77,0.0,-2.77,0.0,-3.17,0.0,2.0
PB,0,4.0,-4.89,4.760000000000001,-9.65,75.0,0.4932642487046633,-1.2225,1.586666666666667,-9.65,4.44,-9.65,3.0,1.0
BO,14,1.0,-4.32,0,-4.32,0.0,0.0,-4.32,0.0,-4.32,0.0,-4.32,0.0,1.0
PB,19,2.0,-3.1799999999999997,0.78,-3.96,50.0,0.196969696969697,-1.5899999999999999,0.78,-3.96,0.78,-3.96,1.0,1.0
RV,12,1.0,-2.67,0,-2.67,0.0,0.0,-2.67,0.0,-2.67,0.0,-2.67,0.0,1.0
RV,1,1.0,-2.44,0,-2.44,0.0,0.0,-2.44,0.0,-2.44,0.0,-2.44,0.0,1.0
