entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-10 09:30:00,2026-03-10 13:38:37,2026-03,2026-03-10,9,buy,0.01,71233.89,69831.74,-14.02,122.82,248.61666666666667,sl,SBTC,BO,S94,0,,,,,unknown,SBTC|BO|S94|B,sl 69833.89,0.0014999999999432134
2026-03-17 01:15:00,2026-03-17 03:40:36,2026-03,2026-03-17,1,buy,0.01,75845.2,74444.71,-14.0,182.41,145.6,sl,SBTC,BO,S90,0,,,,,unknown,SBTC|BO|S90|B,sl 74445.20,0.004899999999906868
2026-03-19 15:30:00,2026-03-19 19:10:31,2026-03,2026-03-19,15,sell,0.01,69195.49,70284.62,-10.9,182.09,220.51666666666668,sl,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|S,sl 70280.62,0.00870000000009874
2026-03-09 00:30:00,2026-03-09 03:08:37,2026-03,2026-03-09,0,sell,0.01,66162.67,67127.56,-9.65,113.45,158.61666666666667,sl,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|S,sl 67125.12,0.0011000000000063181
2026-03-19 16:15:00,2026-03-19 19:10:36,2026-03,2026-03-19,16,sell,0.01,69335.62,70293.18,-9.57,172.52,175.6,sl,SBTC,PB,S71,0,,,,,unknown,SBTC|PB|S71|S,sl 70292.03,0.005599999999976291
2026-03-08 10:30:00,2026-03-08 12:13:16,2026-03,2026-03-08,10,buy,0.01,68047.55,67106.34,-9.42,128.32,103.26666666666667,sl,SBTC,BO,S82,0,,,,,unknown,SBTC|BO|S82|B,sl 67108.59,0.007899999999935403
2026-03-22 21:15:00,2026-03-23 05:00:41,2026-03,2026-03-22,21,sell,0.01,67769.18,68692.63,-9.24,154.77,465.68333333333334,sl,SBTC,BO,S91,0,,,,,unknown,SBTC|BO|S91|S,sl 68690.19,0.005499999999884153
2026-03-08 05:00:00,2026-03-08 07:20:39,2026-03,2026-03-08,5,sell,0.01,66633.67,67473.11,-8.39,142.66,140.65,sl,SBTC,BO,S87,0,,,,,unknown,SBTC|BO|S87|S,sl 67472.86,0.004400000000023496
2026-03-12 11:45:00,2026-03-12 14:00:00,2026-03,2026-03-12,11,buy,0.01,70703.51,69977.48,-7.27,111.65,135.0,manual/exit_loss,SBTC,BO,S89,0,,,,,unknown,SBTC|BO|S89|B,,0.009700000000011144
2026-03-17 20:30:00,2026-03-17 22:30:37,2026-03,2026-03-17,20,buy,0.02,74684.76,74337.28,-6.95,178.43,120.61666666666666,sl,SBTC,PB,S83,0,,,,,unknown,SBTC|PB|S83|B,sl 74340.33,0.00040000000008166836
