entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-08 00:30:00,2026-03-08 01:08:11,2026-03,2026-03-08,0,sell,0.01,67331.89,67317.24,0.15,150.15,38.18333333333333,sl,SBTC,PB,S72,0,,,,,unknown,SBTC|PB|S72|S,sl 67313.89,0.0035000000000582066
2026-03-08 00:00:00,2026-03-08 02:51:04,2026-03,2026-03-08,0,sell,0.01,67262.94,66818.84,4.44,154.59,171.06666666666666,tp,SBTC,PB,S71,0,,,,,unknown,SBTC|PB|S71|S,tp 66818.95,0.0010000000000580656
2026-03-08 01:30:00,2026-03-08 02:54:38,2026-03,2026-03-08,1,sell,0.01,67222.21,67032.33,1.9,156.49,84.63333333333334,sl,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|S,sl 67029.81,0.0011999999999532385
2026-03-08 03:00:00,2026-03-08 07:20:37,2026-03,2026-03-08,3,sell,0.01,66923.44,67466.71,-5.44,151.05,260.6166666666667,sl,SBTC,BO,S88,0,,,,,unknown,SBTC|BO|S88|S,sl 67464.61,0.007299999999959894
2026-03-08 05:00:00,2026-03-08 07:20:39,2026-03,2026-03-08,5,sell,0.01,66633.67,67473.11,-8.39,142.66,140.65,sl,SBTC,BO,S87,0,,,,,unknown,SBTC|BO|S87|S,sl 67472.86,0.004400000000023496
2026-03-08 09:45:00,2026-03-08 10:17:34,2026-03,2026-03-08,9,sell,0.01,67735.0,67950.14,-2.15,140.51,32.56666666666667,sl,SBTC,RV,S77,0,,,,,unknown,SBTC|RV|S77|S,sl 67949.62,0.0013999999999945167
2026-03-08 11:30:00,2026-03-08 11:41:37,2026-03,2026-03-08,11,buy,0.01,67681.85,67405.41,-2.77,137.74,11.616666666666667,sl,SBTC,PB,S76,0,,,,,unknown,SBTC|PB|S76|B,sl 67406.56,0.005599999999976735
2026-03-08 10:30:00,2026-03-08 12:13:16,2026-03,2026-03-08,10,buy,0.01,68047.55,67106.34,-9.42,128.32,103.26666666666667,sl,SBTC,BO,S82,0,,,,,unknown,SBTC|BO|S82|B,sl 67108.59,0.007899999999935403
2026-03-09 01:00:00,2026-03-09 03:02:04,2026-03,2026-03-09,1,sell,0.01,66348.64,66870.53,-5.22,123.1,122.06666666666666,sl,SBTC,PB,S72,0,,,,,unknown,SBTC|PB|S72|S,sl 66868.78,0.00110000000000543
2026-03-09 00:30:00,2026-03-09 03:08:37,2026-03,2026-03-09,0,sell,0.01,66162.67,67127.56,-9.65,113.45,158.61666666666667,sl,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|S,sl 67125.12,0.0011000000000063181
2026-03-09 05:45:00,2026-03-09 06:15:00,2026-03,2026-03-09,5,buy,0.01,67926.35,67610.69,-3.15,110.3,30.0,manual/exit_loss,SBTC,BO,S89,0,,,,,unknown,SBTC|BO|S89|B,,0.006600000000035244
2026-03-10 01:45:00,2026-03-10 02:36:03,2026-03,2026-03-10,1,buy,0.01,68985.16,70161.23,11.76,122.06,51.05,tp,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|B,tp 70160.48,0.000699999999925538
2026-03-10 00:45:00,2026-03-10 03:03:39,2026-03,2026-03-10,0,buy,0.01,69200.31,70096.79,8.97,131.03,138.65,sl,SBTC,BO,S85,0,,,,,unknown,SBTC|BO|S85|B,sl 70098.02,0.005200000000041172
2026-03-10 04:15:00,2026-03-10 08:52:36,2026-03,2026-03-10,4,buy,0.01,69740.23,70651.75,9.12,140.15,277.6,sl,SBTC,PB,S83,0,,,,,unknown,SBTC|PB|S83|B,sl 70653.74,0.004799999999958615
2026-03-10 06:30:00,2026-03-10 08:52:36,2026-03,2026-03-10,6,buy,0.01,70152.69,70651.75,4.99,145.14,142.6,sl,SBTC,PB,S72,0,,,,,unknown,SBTC|PB|S72|B,sl 70653.74,0.0005999999999763972
2026-03-10 11:00:00,2026-03-10 12:03:30,2026-03,2026-03-10,11,buy,0.01,70787.87,70507.49,-2.81,142.33,63.5,sl,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,sl 70514.35,0.006200000000098793
2026-03-10 13:15:00,2026-03-10 13:34:42,2026-03,2026-03-10,13,buy,0.01,70788.59,70240.17,-5.49,136.84,19.7,sl,SBTC,PB,S85,0,,,,,unknown,SBTC|PB|S85|B,sl 70243.20,0.005800000000017569
2026-03-10 09:30:00,2026-03-10 13:38:37,2026-03,2026-03-10,9,buy,0.01,71233.89,69831.74,-14.02,122.82,248.61666666666667,sl,SBTC,BO,S94,0,,,,,unknown,SBTC|BO|S94|B,sl 69833.89,0.0014999999999432134
2026-03-11 15:30:00,2026-03-11 17:37:31,2026-03,2026-03-11,15,buy,0.01,70228.41,70620.33,3.92,126.74,127.51666666666667,sl,SBTC,PB,S77,0,,,,,unknown,SBTC|PB|S77|B,sl 70620.73,0.0008000000000172314
2026-03-11 16:00:00,2026-03-11 17:37:31,2026-03,2026-03-11,16,buy,0.01,70260.84,70620.33,3.59,130.33,97.51666666666667,sl,SBTC,PB,S80,0,,,,,unknown,SBTC|PB|S80|B,sl 70620.73,0.004900000000052529
2026-03-11 19:30:00,2026-03-11 22:21:27,2026-03,2026-03-11,19,buy,0.01,70564.48,70642.25,0.78,131.11,171.45,sl,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,sl 70647.28,0.0022999999999592236
2026-03-11 19:00:00,2026-03-11 22:56:05,2026-03,2026-03-11,19,buy,0.01,70645.74,70250.15,-3.96,127.15,236.08333333333334,sl,SBTC,PB,S79,0,,,,,unknown,SBTC|PB|S79|B,sl 70250.17,0.004099999999889192
2026-03-12 01:45:00,2026-03-12 01:53:14,2026-03,2026-03-12,1,buy,0.01,69990.8,69747.34,-2.44,124.71,8.233333333333333,sl,SBTC,RV,S66,0,,,,,unknown,SBTC|RV|S66|B,sl 69747.75,0.0053999999999359005
2026-03-12 03:15:00,2026-03-12 03:47:02,2026-03,2026-03-12,3,buy,0.01,69396.03,69412.5,0.17,124.88,32.03333333333333,sl,SBTC,RV,S69,0,,,,,unknown,SBTC|RV|S69|B,sl 69414.03,0.00529999999998837
2026-03-12 12:45:00,2026-03-12 13:45:39,2026-03,2026-03-12,12,buy,0.01,70477.82,69882.05,-5.96,118.92,60.65,sl,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|B,sl 69882.10,0.0022999999999591125
2026-03-12 11:45:00,2026-03-12 14:00:00,2026-03,2026-03-12,11,buy,0.01,70703.51,69977.48,-7.27,111.65,135.0,manual/exit_loss,SBTC,BO,S89,0,,,,,unknown,SBTC|BO|S89|B,,0.009700000000011144
2026-03-13 03:15:00,2026-03-13 06:28:11,2026-03,2026-03-13,3,buy,0.01,71190.86,71313.48,1.22,112.87,193.18333333333334,sl,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,sl 71317.05,0.006199999999953576
2026-03-13 07:00:00,2026-03-13 07:34:05,2026-03,2026-03-13,7,buy,0.01,71369.43,71385.41,0.16,113.03,34.083333333333336,sl,SBTC,PB,S82,0,,,,,unknown,SBTC|PB|S82|B,sl 71387.43,0.00019999999989522843
2026-03-13 00:15:00,2026-03-13 08:38:00,2026-03,2026-03-13,0,buy,0.01,71142.56,71893.81,7.51,120.54,503.0,sl,SBTC,BO,S87,0,,,,,unknown,SBTC|BO|S87|B,sl 71894.57,0.002500000000000391
2026-03-13 07:45:00,2026-03-13 08:38:00,2026-03,2026-03-13,7,buy,0.01,71590.41,71893.81,3.04,123.58,53.0,sl,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|B,sl 71894.57,0.006000000000057959
