code,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
S70,6.0,-12.75,0.15,-12.9,16.666666666666664,0.011627906976744186,-2.125,0.15,-2.58,0.15,-3.83,1.0,5.0
S76,6.0,-10.399999999999999,1.82,-12.219999999999999,33.33333333333333,0.14893617021276598,-1.7333333333333332,0.91,-3.0549999999999997,1.28,-3.84,2.0,4.0
S78,12.0,-8.969999999999999,9.27,-18.24,50.0,0.5082236842105263,-0.7474999999999999,1.545,-3.0399999999999996,3.45,-3.87,6.0,6.0
S86,3.0,-8.66,0,-8.66,0.0,0.0,-2.8866666666666667,0.0,-2.8866666666666667,0.0,-3.82,0.0,3.0
S83,4.0,-8.05,1.28,-9.33,25.0,0.13719185423365488,-2.0125,1.28,-3.11,1.28,-3.85,1.0,3.0
S85,6.0,-6.76,3.7199999999999998,-10.48,50.0,0.3549618320610687,-1.1266666666666667,1.24,-3.4933333333333336,1.39,-3.81,3.0,3.0
S88,1.0,-3.82,0,-3.82,0.0,0.0,-3.82,0.0,-3.82,0.0,-3.82,0.0,1.0
S81,12.0,-2.19,7.82,-10.01,75.0,0.7812187812187813,-0.1825,0.8688888888888889,-3.3366666666666664,2.33,-3.83,9.0,3.0
S80,4.0,-1.25,2.57,-3.82,75.0,0.6727748691099477,-0.3125,0.8566666666666666,-3.82,1.45,-3.82,3.0,1.0
S72,4.0,0.65,2.92,-2.27,75.0,1.2863436123348018,0.1625,0.9733333333333333,-2.27,1.32,-2.27,3.0,1.0
S87,2.0,1.73,1.73,0,100.0,0.0,0.865,0.865,0.0,1.11,0.0,2.0,0.0
S75,17.0,2.0100000000000002,12.24,-10.23,82.35294117647058,1.1964809384164223,0.11823529411764708,0.8742857142857143,-3.41,2.9,-3.61,14.0,3.0
S71,8.0,2.09,7.57,-5.48,75.0,1.3813868613138685,0.26125,1.2616666666666667,-2.74,2.85,-2.81,6.0,2.0
S79,7.0,2.23,4.92,-2.69,85.71428571428571,1.8289962825278812,0.31857142857142856,0.82,-2.69,2.01,-2.69,6.0,1.0
S82,3.0,3.7800000000000002,5.86,-2.08,66.66666666666666,2.8173076923076925,1.26,2.93,-2.08,5.15,-2.08,2.0,1.0
S84,3.0,5.130000000000001,7.34,-2.21,66.66666666666666,3.321266968325792,1.7100000000000002,3.67,-2.21,5.16,-2.21,2.0,1.0
S77,8.0,7.25,11.24,-3.99,75.0,2.817042606516291,0.90625,1.8733333333333333,-1.995,2.85,-3.81,6.0,2.0
S74,11.0,7.52,15.0,-7.48,72.72727272727273,2.0053475935828877,0.6836363636363636,1.875,-2.4933333333333336,5.14,-3.83,8.0,3.0
S73,15.0,15.59,23.24,-7.65,86.66666666666667,3.037908496732026,1.0393333333333332,1.7876923076923075,-3.825,5.14,-3.83,13.0,2.0
