entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
0,9.0,-12.96,2.9699999999999998,-15.93,44.44444444444444,0.18644067796610167,-1.4400000000000002,0.7424999999999999,-3.186,1.45,-3.87,4.0,5.0
1,8.0,-10.89,4.42,-15.309999999999999,50.0,0.2887001959503593,-1.36125,1.105,-3.8274999999999997,1.6,-3.84,4.0,4.0
18,6.0,-8.51,2.94,-11.45,50.0,0.2567685589519651,-1.4183333333333332,0.98,-3.8166666666666664,1.36,-3.83,3.0,3.0
23,4.0,-8.0,3.46,-11.46,25.0,0.30191972076788826,-2.0,3.46,-3.8200000000000003,3.46,-3.83,1.0,3.0
11,5.0,-3.42,2.11,-5.529999999999999,60.0,0.38155515370705245,-0.6839999999999999,0.7033333333333333,-2.7649999999999997,0.94,-3.32,3.0,2.0
2,5.0,-2.5999999999999996,3.3,-5.9,60.0,0.559322033898305,-0.5199999999999999,1.0999999999999999,-2.95,1.47,-3.82,3.0,2.0
17,6.0,-2.1199999999999997,5.45,-7.57,50.0,0.7199471598414795,-0.3533333333333333,1.8166666666666667,-2.5233333333333334,5.15,-3.81,3.0,3.0
5,3.0,-1.3900000000000001,1.5899999999999999,-2.98,66.66666666666666,0.5335570469798657,-0.4633333333333334,0.7949999999999999,-2.98,0.96,-2.98,2.0,1.0
20,2.0,-1.05,1.82,-2.87,50.0,0.6341463414634146,-0.525,1.82,-2.87,1.82,-2.87,1.0,1.0
21,8.0,-0.74,6.04,-6.779999999999999,75.0,0.8908554572271388,-0.0925,1.0066666666666666,-3.3899999999999997,2.23,-3.61,6.0,2.0
7,3.0,-0.11999999999999966,1.9100000000000001,-2.03,66.66666666666666,0.9408866995073893,-0.03999999999999989,0.9550000000000001,-2.03,1.11,-2.03,2.0,1.0
12,9.0,0.05000000000000018,4.11,-4.06,77.77777777777779,1.0123152709359609,0.005555555555555576,0.5871428571428572,-2.03,1.67,-2.67,7.0,2.0
15,7.0,0.26999999999999935,7.72,-7.45,42.857142857142854,1.036241610738255,0.03857142857142848,2.5733333333333333,-1.8625,5.14,-3.85,3.0,4.0
22,4.0,0.4199999999999998,3.87,-3.45,75.0,1.1217391304347826,0.10499999999999995,1.29,-3.45,1.96,-3.45,3.0,1.0
4,5.0,0.8399999999999997,7.46,-6.62,60.0,1.1268882175226587,0.16799999999999995,2.486666666666667,-3.31,5.14,-3.81,3.0,2.0
13,10.0,1.4499999999999997,6.0,-4.55,80.0,1.3186813186813187,0.14499999999999996,0.75,-2.275,2.4,-2.69,8.0,2.0
6,3.0,1.6,3.48,-1.88,66.66666666666666,1.8510638297872342,0.5333333333333333,1.74,-1.88,2.85,-1.88,2.0,1.0
9,1.0,1.65,1.65,0,100.0,0.0,1.65,1.65,0.0,1.65,0.0,1.0,0.0
14,9.0,2.6,10.23,-7.63,77.77777777777779,1.3407601572739187,0.2888888888888889,1.4614285714285715,-3.815,3.45,-3.82,7.0,2.0
8,5.0,2.8800000000000003,6.7,-3.82,80.0,1.7539267015706808,0.5760000000000001,1.675,-3.82,3.85,-3.82,4.0,1.0
10,5.0,3.87,6.14,-2.27,80.0,2.7048458149779733,0.774,1.535,-2.27,2.9,-2.27,4.0,1.0
19,5.0,4.300000000000001,8.32,-4.02,60.0,2.0696517412935327,0.8600000000000001,2.7733333333333334,-2.01,5.16,-3.84,3.0,2.0
3,5.0,6.15,6.15,0,100.0,0.0,1.23,1.23,0.0,2.01,0.0,5.0,0.0
16,5.0,10.85,10.85,0,100.0,0.0,2.17,2.17,0.0,5.14,0.0,5.0,0.0
