entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-01 00:45:00,2026-01-01 01:07:05,2026-01,2026-01-01,0,sell,0.01,87599.19,87755.61,-1.57,148.43,22.083333333333332,sl,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|S,sl 87753.01,0.005800000000017569
2026-01-01 04:00:00,2026-01-01 04:21:05,2026-01,2026-01-01,4,sell,0.01,87704.5,87487.01,2.18,150.61,21.083333333333332,sl,SBTC,PB,S84,0,,,,,unknown,SBTC|PB|S84|S,sl 87486.69,0.005099999999947702
2026-01-02 03:00:00,2026-01-02 03:16:35,2026-01,2026-01-02,3,buy,0.01,88552.19,88753.38,2.01,152.62,16.583333333333332,sl,SBTC,PB,S79,0,,,,,unknown,SBTC|PB|S79|B,sl 88756.83,0.0019000000000235495
2026-01-02 06:00:00,2026-01-02 06:40:30,2026-01,2026-01-02,6,buy,0.01,88675.71,88961.2,2.85,155.47,40.5,tp,SBTC,PB,S77,0,,,,,unknown,SBTC|PB|S77|B,tp 88959.09,0.004899999999906868
2026-01-02 08:15:00,2026-01-02 09:13:27,2026-01,2026-01-02,8,buy,0.01,88976.27,89121.95,1.46,156.93,58.45,sl,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|B,sl 89123.63,0.0032000000000698137
2026-01-02 13:15:00,2026-01-02 13:24:18,2026-01,2026-01-02,13,buy,0.01,89447.96,89482.48,0.34,157.27,9.3,sl,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|B,sl 89485.99,0.005199999999895233
2026-01-02 16:15:00,2026-01-02 16:19:33,2026-01,2026-01-02,16,buy,0.01,89727.33,89745.83,0.19,157.46,4.55,sl,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|B,sl 89746.43,0.0050000000000000044
2026-01-02 19:15:00,2026-01-02 22:06:51,2026-01,2026-01-02,19,buy,0.01,89938.56,90125.82,1.87,159.33,171.85,sl,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|B,sl 90128.28,0.0026000000000929724
2026-01-02 22:15:00,2026-01-02 22:51:02,2026-01,2026-01-02,22,buy,0.01,90085.1,90218.38,1.33,160.66,36.03333333333333,sl,SBTC,PB,S77,0,,,,,unknown,SBTC|PB|S77|B,sl 90218.50,0.0027999999999883673
2026-01-03 00:15:00,2026-01-03 01:21:40,2026-01,2026-01-03,0,buy,0.01,90030.85,90079.34,0.48,161.14,66.66666666666667,sl,SBTC,PB,S81,0,,,,,unknown,SBTC|PB|S81|B,sl 90081.13,0.004899999999906923
