closed_direction,hour,pnl,wins,losses
buy,0,-68.66,4,19
buy,1,115.06,32,21
buy,2,-44.87,22,22
buy,3,91.14,11,6
buy,4,63.00,10,3
buy,5,24.98,23,28
buy,6,0.65,9,12
buy,7,-1.13,20,11
buy,8,-22.36,7,20
buy,9,-32.29,14,7
buy,10,39.68,18,11
buy,11,-10.35,13,12
buy,12,7.36,19,8
buy,13,134.73,34,11
buy,14,-27.01,23,24
buy,15,16.22,10,10
buy,16,-7.18,11,6
buy,17,-9.89,5,11
buy,18,4.68,3,13
buy,19,23.23,6,7
buy,20,-29.24,8,7
buy,22,9.48,4,5
buy,23,1.89,11,7
sell,0,56.05,5,3
sell,1,2.29,1,1
sell,2,-16.82,0,2
sell,4,-8.42,0,1
sell,5,57.53,6,3
sell,6,-1.15,4,6
sell,7,-8.41,0,1
sell,8,19.10,2,2
sell,9,-15.20,2,2
sell,10,8.22,4,1
sell,11,-20.53,0,2
sell,12,-56.08,1,7
sell,13,-15.78,1,2
sell,14,3.18,3,3
sell,15,18.91,1,0
sell,18,6.43,1,1
sell,19,2.28,1,1
sell,20,-7.37,1,1
sell,23,-16.82,0,2
