start,end,count,pnl,buy_losses,sell_losses
2026-03-11 22:09:01,2026-03-12 02:36:42,6,-25.50,5,1
2026-01-08 00:36:40,2026-01-08 05:30:42,4,-21.95,4,0
2025-12-04 02:05:27,2025-12-04 05:40:30,6,-20.77,6,0
2026-02-16 02:35:20,2026-02-16 08:17:15,4,-20.23,4,0
2025-11-20 01:20:37,2025-11-20 02:07:38,3,-19.98,3,0
2026-04-10 02:21:41,2026-04-10 09:18:41,6,-18.66,5,1
2026-02-26 07:02:37,2026-02-26 15:27:29,6,-17.60,6,0
2025-10-27 00:34:28,2025-10-27 02:57:14,3,-17.21,1,2
2026-03-18 07:46:38,2026-03-18 11:43:37,8,-12.08,8,0
2026-03-03 06:18:28,2026-03-03 17:31:41,13,-11.60,12,1
2026-04-07 01:00:28,2026-04-07 05:23:36,4,-11.58,4,0
2025-12-30 23:28:40,2025-12-31 05:40:05,5,-10.44,5,0
2025-11-06 15:37:42,2025-11-06 19:52:39,4,-9.74,4,0
2025-12-10 08:44:38,2025-12-10 14:12:05,5,-8.89,4,1
2026-04-08 12:22:38,2026-04-08 22:18:41,9,-2.37,9,0
2026-03-05 14:39:14,2026-03-05 18:03:15,7,-2.00,7,0
2026-02-05 20:23:38,2026-02-06 01:02:31,6,-1.82,6,0
2026-03-12 15:03:38,2026-03-12 18:47:41,6,-1.82,6,0
2026-02-05 09:56:30,2026-02-05 15:02:13,7,-1.40,7,0
2026-03-06 10:06:13,2026-03-06 13:05:41,4,-1.40,4,0
2026-03-09 00:05:42,2026-03-09 02:03:16,4,-1.40,4,0
2025-10-24 06:02:38,2025-10-24 11:03:38,5,-1.32,5,0
2026-03-26 16:21:30,2026-03-27 00:50:39,7,-1.31,7,0
2025-11-03 23:13:20,2025-11-04 06:02:15,5,-1.24,5,0
2026-02-05 05:07:41,2026-02-05 05:30:43,3,-1.20,3,0
2026-03-04 17:23:32,2026-03-04 18:20:30,3,-1.20,3,0
2026-03-26 05:26:20,2026-03-26 08:43:30,4,-1.18,4,0
2025-10-27 08:53:19,2025-10-27 11:38:37,4,-1.13,4,0
2025-11-21 06:28:19,2025-11-21 08:03:27,4,-1.07,4,0
2026-02-17 05:12:40,2026-02-17 05:31:39,3,-0.99,3,0
2026-03-30 23:10:03,2026-03-31 00:20:40,3,-0.99,3,0
2025-12-18 08:55:41,2025-12-18 13:06:39,6,-0.78,6,0
