time,closed_direction,profit,volume,balance,reason,comment
2026-01-30 00:41:30,buy,-19.32,0.75,347.85,sl,sl 5412.959
2026-02-04 01:30:41,buy,-17.78,0.75,332.50,sl,sl 5027.439
2026-03-24 08:20:40,buy,-15.88,0.75,249.37,sl,sl 4396.136
2026-03-23 06:49:56,sell,-14.64,0.70,263.95,sl,sl 4203.921
2026-02-06 06:06:31,buy,-13.90,0.88,409.54,sl,sl 4881.918
2026-02-05 01:01:28,buy,-11.71,0.75,320.79,sl,sl 5000.443
2026-03-31 14:44:14,buy,-11.17,0.75,334.72,sl,sl 4604.252
2026-03-25 02:09:39,buy,-11.06,0.88,325.93,sl,sl 4582.767
2026-01-21 01:35:16,buy,-11.02,0.88,366.50,sl,sl 4815.136
2026-02-23 00:00:32,buy,-10.64,0.88,399.39,sl,sl 5153.783
2025-10-22 20:24:28,buy,-10.60,0.88,124.74,sl,sl 4093.581
2026-03-11 22:09:01,buy,-10.60,0.88,274.45,sl,sl 5171.224
2026-04-14 10:38:31,buy,-10.60,0.88,377.45,sl,sl 4768.573
2026-01-22 09:32:32,buy,-10.59,0.88,375.23,sl,sl 4821.418
2026-02-16 08:17:15,buy,-10.59,0.88,363.05,sl,sl 4995.785
2026-03-05 04:47:38,buy,-10.59,0.88,278.80,sl,sl 5172.303
2026-04-01 05:56:38,buy,-10.59,0.88,324.13,sl,sl 4690.529
2026-04-09 13:51:30,buy,-10.59,0.88,375.73,sl,sl 4763.906
2026-04-14 09:32:38,buy,-10.59,0.88,388.05,sl,sl 4774.172
2025-10-28 01:32:37,buy,-10.58,0.88,91.03,sl,sl 4006.080
2025-12-16 02:53:41,buy,-10.58,0.88,193.39,sl,sl 4297.732
2025-12-23 03:19:31,buy,-10.58,0.88,271.87,sl,sl 4484.098
2025-12-26 11:10:29,buy,-10.58,0.88,317.92,sl,sl 4506.615
2026-01-08 00:36:40,buy,-10.58,0.88,412.59,sl,sl 4453.794
2026-01-14 05:57:30,buy,-10.58,0.88,373.95,sl,sl 4622.140
2026-02-18 08:34:39,buy,-10.58,0.88,413.11,sl,sl 4921.456
2026-02-26 10:33:14,buy,-10.58,0.88,341.02,sl,sl 5174.796
2026-03-16 11:51:41,buy,-10.58,0.88,258.26,sl,sl 5007.156
2026-04-07 05:23:36,buy,-10.58,0.88,324.54,sl,sl 4650.399
2025-10-30 00:39:43,buy,-10.57,0.88,82.39,sl,sl 3947.820
2025-11-11 14:21:30,buy,-10.57,0.88,197.93,sl,sl 4131.309
2025-11-20 01:21:40,buy,-10.57,0.88,129.82,sl,sl 4092.852
2025-12-04 02:05:27,buy,-10.57,0.88,150.78,sl,sl 4201.600
2026-01-08 01:46:18,buy,-10.57,0.88,402.02,sl,sl 4445.369
2026-02-27 02:33:13,buy,-10.57,0.88,329.30,sl,sl 5182.152
2026-03-09 10:30:59,buy,-10.57,0.88,286.68,sl,sl 5093.409
2025-11-07 03:08:38,buy,-10.56,0.88,99.89,sl,sl 3990.081
2026-02-11 11:03:21,buy,-10.56,0.88,389.52,sl,sl 5087.933
2026-03-04 10:30:29,buy,-10.56,0.88,287.26,sl,sl 5186.142
2026-03-04 02:49:30,buy,-10.48,0.75,297.82,sl,sl 5166.417
2026-03-20 11:06:03,sell,-10.48,0.70,219.09,sl,sl 4660.350
2026-02-09 11:24:29,sell,-10.05,0.70,392.70,sl,sl 5001.097
2026-03-19 19:25:41,buy,-9.45,0.53,210.88,sl,sl 4639.463
2026-03-30 02:55:40,buy,-9.37,0.75,338.09,sl,sl 4482.325
2026-04-05 22:02:20,buy,-9.08,0.75,342.58,sl,sl 4654.343
2026-02-11 08:31:28,buy,-9.06,0.75,376.73,sl,sl 5048.112
2026-02-16 02:35:20,buy,-9.05,0.75,373.31,sl,sl 5018.368
2026-02-23 00:39:41,buy,-9.04,0.75,390.35,sl,sl 5141.494
2026-03-10 07:20:25,buy,-9.04,0.75,284.83,sl,sl 5168.125
2025-12-04 03:02:27,buy,-9.03,0.75,141.75,sl,sl 4195.809
