date,pnl,losses,wins
2026-02-27,-27.25,3,2
2026-03-17,-25.85,3,0
2026-01-08,-22.16,6,2
2026-02-26,-21.93,7,3
2025-12-04,-20.07,6,4
2026-02-23,-19.68,2,0
2026-03-31,-19.47,4,1
2026-01-30,-19.32,1,0
2026-04-07,-19.27,7,6
2025-11-20,-18.79,5,4
2026-02-16,-18.71,4,4
2026-01-12,-18.22,3,0
2025-11-25,-18.01,2,0
2025-11-19,-18.00,4,2
2026-04-10,-17.73,6,5
2025-10-27,-17.71,7,1
2025-12-17,-17.64,2,2
2026-01-23,-17.42,2,0
2026-04-14,-17.27,2,7
2025-10-21,-16.82,2,0
2026-02-12,-16.82,2,0
2026-03-04,-16.76,5,6
2026-02-09,-15.92,2,5
2026-02-04,-15.35,1,2
2026-03-27,-15.29,3,5
2026-03-12,-15.27,9,4
2026-02-25,-15.04,2,0
2026-02-05,-14.51,15,2
2026-01-26,-14.13,2,1
2026-02-24,-13.51,3,2
2026-03-18,-12.08,8,0
2026-03-05,-11.14,8,4
2026-03-11,-11.05,3,1
2025-10-28,-10.58,1,0
2025-12-16,-10.58,1,0
2025-11-07,-9.80,1,6
2025-10-30,-9.72,1,3
2026-01-22,-9.49,1,1
2026-03-19,-9.45,1,0
2026-01-13,-9.24,2,0
