time,closed_direction,profit,volume,balance,reason,comment
2026-01-07 00:52:30,buy,-2.53,0.21,144.16,sl,sl 4486.669
2026-02-19 08:08:05,buy,-2.53,0.21,119.82,sl,sl 5006.616
2026-01-06 19:17:28,buy,-2.52,0.21,146.64,sl,sl 4479.204
2026-01-20 11:07:29,buy,-2.52,0.21,117.77,sl,sl 4722.490
2026-02-23 00:00:32,buy,-2.42,0.20,119.86,sl,sl 5153.783
2026-01-14 05:57:30,buy,-2.41,0.20,114.84,sl,sl 4622.140
2026-01-22 09:32:32,buy,-2.41,0.20,118.61,sl,sl 4821.418
2026-01-21 01:35:16,buy,-2.38,0.19,115.94,sl,sl 4815.136
2026-02-18 08:34:39,buy,-2.29,0.19,107.62,sl,sl 4921.456
2026-01-05 02:08:12,buy,-2.28,0.19,133.89,sl,sl 4391.138
2026-01-05 17:01:43,buy,-2.28,0.19,132.17,sl,sl 4435.436
2026-02-06 06:06:31,buy,-2.21,0.14,110.35,sl,sl 4881.918
2026-02-05 00:09:28,buy,-2.18,0.13,110.10,sl,sl 5003.540
2026-02-11 12:09:38,buy,-2.18,0.18,108.49,sl,sl 5099.919
2026-02-19 09:28:42,buy,-2.17,0.18,117.65,sl,sl 5002.899
2026-01-02 13:24:28,buy,-2.16,0.18,119.57,sl,sl 4383.454
2026-01-07 11:36:04,buy,-2.16,0.18,134.08,sl,sl 4454.004
2026-01-08 18:21:13,buy,-2.16,0.18,119.25,sl,sl 4451.602
2026-01-19 07:17:29,buy,-2.16,0.18,104.58,sl,sl 4666.062
2026-02-11 11:03:21,buy,-2.16,0.18,110.67,sl,sl 5087.933
2026-02-11 12:18:27,buy,-2.16,0.18,106.33,sl,sl 5095.607
2026-02-23 11:15:41,buy,-2.16,0.18,116.09,sl,sl 5150.901
2026-03-04 10:30:29,buy,-2.16,0.18,102.89,sl,sl 5186.142
2026-02-06 08:00:43,buy,-2.09,0.13,108.26,sl,sl 4830.593
2026-01-12 16:36:39,buy,-2.06,0.17,113.54,sl,sl 4617.210
2026-02-16 08:17:15,buy,-2.05,0.17,102.47,sl,sl 4995.785
2026-02-23 00:39:41,buy,-2.05,0.17,117.81,sl,sl 5141.494
2026-02-23 13:26:14,buy,-2.05,0.17,114.32,sl,sl 5144.042
2026-01-07 02:32:26,sell,-2.04,0.17,142.12,sl,sl 4477.482
2026-01-07 07:30:15,sell,-2.04,0.17,140.08,sl,sl 4456.112
2026-01-09 05:16:41,buy,-2.04,0.17,117.64,sl,sl 4459.982
2026-01-12 14:03:33,buy,-2.04,0.17,115.60,sl,sl 4604.010
2026-01-14 05:57:21,buy,-2.04,0.17,117.25,sl,sl 4624.518
2026-01-15 13:18:41,buy,-2.04,0.17,110.20,sl,sl 4607.344
2026-01-15 13:18:41,buy,-2.04,0.17,108.16,sl,sl 4607.307
2026-01-15 13:19:30,buy,-2.04,0.17,106.40,sl,sl 4606.024
2026-01-23 07:49:36,buy,-2.04,0.17,116.57,sl,sl 4944.192
2026-02-18 16:22:41,buy,-2.04,0.17,113.97,sl,sl 4992.227
2026-01-12 18:16:23,buy,-1.99,0.16,109.63,sl,sl 4605.314
2026-01-27 04:40:39,buy,-1.93,0.16,110.55,sl,sl 5064.968
2026-02-11 08:31:28,buy,-1.93,0.16,108.16,sl,sl 5048.112
2026-03-06 00:00:30,buy,-1.93,0.16,98.09,sl,sl 5079.515
2026-03-11 22:09:01,buy,-1.93,0.16,95.93,sl,sl 5171.224
2026-01-07 11:26:03,buy,-1.92,0.16,138.16,sl,sl 4456.365
2026-01-07 11:34:41,buy,-1.92,0.16,136.24,sl,sl 4455.033
2026-01-07 11:39:32,buy,-1.92,0.16,132.16,sl,sl 4451.520
2026-01-12 18:15:29,buy,-1.92,0.16,111.62,sl,sl 4607.682
2026-01-14 14:38:39,buy,-1.92,0.16,113.20,sl,sl 4623.024
2026-01-15 08:03:03,buy,-1.92,0.16,111.49,sl,sl 4598.373
2026-01-27 08:08:31,buy,-1.92,0.16,111.74,sl,sl 5081.149
