date,pnl,losses,wins
2026-01-07,-14.22,7,1
2026-03-12,-12.99,18,9
2026-01-08,-12.66,11,3
2026-02-05,-11.98,12,0
2026-01-12,-8.01,4,0
2026-02-23,-7.96,4,3
2026-03-04,-7.42,9,8
2026-01-15,-6.80,4,5
2026-03-06,-4.13,7,5
2026-04-10,-4.08,10,8
2026-03-03,-3.77,8,1
2026-02-11,-3.76,4,2
2026-01-23,-3.72,2,0
2026-03-09,-3.54,9,10
2026-03-18,-3.51,9,2
2026-04-06,-3.47,4,3
2026-03-26,-3.41,14,2
2026-02-24,-3.36,2,0
2026-02-16,-3.10,7,10
2026-03-11,-2.88,3,1
2026-04-14,-2.83,3,9
2026-03-17,-2.76,3,0
2026-03-16,-2.72,4,1
2026-01-27,-2.66,3,1
2026-03-19,-2.65,2,2
2026-02-26,-2.58,5,5
2026-01-26,-2.41,2,3
2026-01-22,-2.16,1,1
2026-02-17,-2.02,8,2
2026-03-02,-1.92,1,0
2026-01-30,-1.80,1,0
2026-04-07,-1.76,10,2
2026-01-09,-1.74,1,1
2026-02-25,-1.69,1,0
2026-03-24,-1.62,4,2
2026-01-13,-1.32,1,0
2026-02-04,-1.24,3,4
2026-04-05,-1.21,1,0
2026-02-12,-1.20,1,0
2026-03-31,-1.16,5,3
