closed_direction,hour,pnl,wins,losses
buy,0,-31.14,5,23
buy,1,26.40,36,16
buy,2,-8.31,12,13
buy,3,21.54,12,3
buy,4,31.65,10,1
buy,5,-1.94,23,31
buy,6,-1.37,7,4
buy,7,3.61,9,3
buy,8,-14.87,3,14
buy,9,1.27,5,2
buy,10,1.43,5,7
buy,11,-0.38,6,5
buy,12,4.62,21,8
buy,13,9.66,22,15
buy,14,12.38,15,13
buy,15,3.54,9,9
buy,16,2.60,9,6
buy,17,0.10,8,9
buy,18,-12.98,5,15
buy,19,-7.31,2,5
buy,20,-4.30,6,4
buy,22,3.86,6,6
buy,23,11.33,11,2
sell,0,9.40,5,1
sell,1,-2.16,0,1
sell,2,-1.71,1,1
sell,4,-1.80,0,1
sell,5,5.85,2,2
sell,6,10.75,5,4
sell,7,0.18,1,0
sell,12,-3.96,0,2
sell,13,-3.18,0,2
sell,14,-4.29,0,2
sell,18,4.32,1,0
sell,19,-4.03,0,2
sell,20,4.73,2,0
sell,23,-3.36,0,2
