start,end,count,pnl,buy_losses,sell_losses
2026-04-10 01:34:31,2026-04-10 08:51:35,10,-13.22,9,1
2026-03-11 22:09:01,2026-03-12 02:36:42,7,-11.58,6,1
2026-03-30 13:08:42,2026-03-30 14:48:04,4,-9.82,2,2
2026-03-03 06:18:28,2026-03-03 11:07:29,8,-9.36,7,1
2026-03-09 17:20:38,2026-03-09 22:03:28,4,-9.27,4,0
2026-02-05 05:07:41,2026-02-05 14:31:42,11,-8.25,10,1
2026-04-07 01:00:28,2026-04-07 01:00:32,8,-8.22,8,0
2026-04-08 12:21:42,2026-04-08 19:37:30,16,-7.98,15,1
2026-03-04 12:16:37,2026-03-04 18:20:30,7,-7.82,7,0
2026-01-12 14:03:33,2026-01-12 18:16:23,4,-7.65,4,0
2026-03-18 07:46:38,2026-03-18 11:43:37,8,-7.42,8,0
2026-03-30 18:54:40,2026-03-30 18:57:30,7,-7.35,7,0
2026-02-16 02:35:20,2026-02-16 05:03:39,6,-6.90,6,0
2026-01-20 20:18:43,2026-01-20 20:24:15,3,-6.84,3,0
2026-03-05 14:39:14,2026-03-05 16:26:41,8,-6.60,8,0
2026-01-08 05:05:20,2026-01-08 05:34:14,7,-6.40,7,0
2026-01-20 00:02:39,2026-01-20 00:29:39,3,-5.90,3,0
2026-03-26 05:26:20,2026-03-26 05:46:39,6,-5.63,6,0
2026-03-05 23:53:27,2026-03-06 02:41:25,3,-5.20,3,0
2026-03-09 00:05:42,2026-03-09 02:03:16,5,-4.80,5,0
2026-02-17 05:12:40,2026-02-17 05:14:26,5,-4.60,5,0
2026-03-12 15:03:38,2026-03-12 15:04:41,4,-4.17,4,0
2026-03-06 10:06:13,2026-03-06 11:56:29,4,-4.00,4,0
2026-02-17 00:52:19,2026-02-17 00:52:20,3,-2.84,3,0
2026-04-09 03:14:27,2026-04-09 06:54:15,3,-1.20,3,0
