time,closed_direction,profit,volume,balance,reason,comment
2026-03-25 02:09:39,buy,-3.14,0.25,144.25,sl,sl 4582.767
2026-03-11 22:09:01,buy,-3.01,0.25,148.65,sl,sl 5171.224
2026-03-30 13:08:42,buy,-3.01,0.25,148.68,sl,sl 4561.978
2026-04-09 13:51:30,buy,-2.89,0.24,145.25,sl,sl 4763.906
2026-03-16 14:24:42,buy,-2.77,0.23,140.19,sl,sl 5019.524
2026-02-23 00:39:41,buy,-2.65,0.22,149.69,sl,sl 5141.494
2026-03-09 12:50:42,buy,-2.65,0.22,133.54,sl,sl 5097.502
2026-04-01 05:56:38,buy,-2.65,0.22,131.53,sl,sl 4690.529
2026-02-23 15:02:04,buy,-2.64,0.22,151.43,sl,sl 5180.886
2026-02-23 16:01:38,buy,-2.64,0.22,148.79,sl,sl 5189.756
2026-03-30 02:55:40,buy,-2.62,0.21,147.49,sl,sl 4482.325
2026-02-06 06:06:31,buy,-2.53,0.16,122.89,sl,sl 4881.918
2026-03-13 02:48:41,buy,-2.53,0.21,139.84,sl,sl 5112.607
2026-04-07 05:23:36,buy,-2.53,0.21,127.15,sl,sl 4650.399
2026-01-08 00:36:40,buy,-2.52,0.21,125.00,sl,sl 4453.794
2026-01-20 20:18:43,buy,-2.52,0.21,126.41,sl,sl 4751.571
2026-02-24 00:00:28,buy,-2.52,0.21,146.14,sl,sl 5230.776
2026-03-02 00:01:38,buy,-2.52,0.21,146.89,sl,sl 5374.914
2026-03-09 19:35:42,buy,-2.52,0.21,142.91,sl,sl 5127.955
2026-03-19 22:33:42,buy,-2.52,0.21,121.12,sl,sl 4659.259
2026-03-30 13:35:21,buy,-2.52,0.21,146.16,sl,sl 4555.916
2026-04-09 18:14:04,buy,-2.52,0.21,146.82,sl,sl 4780.926
2026-04-10 06:16:38,buy,-2.52,0.21,145.21,sl,sl 4755.321
2026-03-19 19:25:41,buy,-2.50,0.14,123.42,sl,sl 4639.463
2026-03-25 13:45:42,buy,-2.47,0.18,140.70,sl,sl 4555.749
2026-04-05 22:02:20,buy,-2.42,0.20,138.96,sl,sl 4654.343
2026-03-04 12:16:37,buy,-2.41,0.20,137.85,sl,sl 5185.893
2026-03-04 13:23:31,buy,-2.41,0.20,135.44,sl,sl 5181.325
2026-03-09 22:03:25,buy,-2.41,0.20,140.50,sl,sl 5129.529
2026-03-09 22:03:28,buy,-2.41,0.20,138.09,sl,sl 5127.413
2026-03-10 02:57:42,buy,-2.41,0.20,138.80,sl,sl 5167.934
2026-03-10 07:20:25,buy,-2.41,0.20,136.39,sl,sl 5168.125
2026-03-12 02:36:42,buy,-2.41,0.20,140.81,sl,sl 5162.145
2026-03-16 20:53:41,buy,-2.41,0.20,137.78,sl,sl 5004.995
2026-02-18 16:22:41,buy,-2.40,0.20,136.17,sl,sl 4992.227
2026-03-05 23:53:27,buy,-2.40,0.20,140.35,sl,sl 5089.115
2026-03-06 02:41:25,buy,-2.40,0.20,140.08,sl,sl 5123.151
2026-03-17 00:27:41,buy,-2.40,0.20,135.38,sl,sl 5001.200
2026-03-04 02:49:30,buy,-2.38,0.17,140.26,sl,sl 5166.417
2026-02-05 00:09:28,buy,-2.34,0.14,122.09,sl,sl 5003.540
2026-01-07 00:52:30,buy,-2.29,0.19,129.44,sl,sl 4486.669
2026-02-18 08:22:14,buy,-2.29,0.19,130.59,sl,sl 4923.541
2026-02-18 08:34:35,buy,-2.29,0.19,128.56,sl,sl 4922.159
2026-01-05 17:01:43,buy,-2.28,0.19,128.56,sl,sl 4435.436
2026-01-06 19:17:28,buy,-2.28,0.19,131.67,sl,sl 4479.204
2026-02-20 12:36:38,sell,-2.28,0.19,152.34,sl,sl 5024.260
2026-03-31 14:44:14,buy,-2.24,0.15,131.29,sl,sl 4604.252
2026-02-04 01:00:39,buy,-2.20,0.10,121.75,sl,sl 4993.902
2026-02-11 19:57:40,buy,-2.18,0.18,124.70,sl,sl 5077.531
2026-01-26 00:58:42,buy,-2.17,0.18,122.24,sl,sl 5038.478
