date,pnl,losses,wins
2026-02-05,-12.62,13,0
2026-01-08,-11.96,10,3
2026-04-10,-8.75,10,7
2026-01-12,-7.65,4,0
2026-03-18,-7.29,8,1
2026-03-04,-7.22,8,6
2026-02-24,-5.88,3,0
2026-03-16,-5.18,2,0
2026-03-30,-5.00,13,8
2026-03-19,-4.61,2,2
2026-03-17,-4.57,2,0
2026-03-03,-4.50,8,1
2026-03-26,-4.46,6,2
2026-03-11,-4.44,3,1
2026-03-12,-4.27,9,8
2026-01-07,-3.93,2,1
2026-01-26,-3.71,2,2
2026-02-23,-3.55,3,2
2026-01-15,-3.35,2,3
2026-03-06,-2.94,6,5
2026-02-17,-2.86,8,2
2026-03-02,-2.52,1,0
2026-04-05,-2.42,1,0
2026-01-30,-2.06,1,0
2026-02-11,-1.92,1,1
2026-02-12,-1.80,1,0
2026-02-16,-1.77,6,10
2026-01-09,-1.64,1,1
2026-04-07,-1.59,9,2
2026-02-26,-1.54,4,5
2026-02-20,-1.02,1,2
2026-01-27,-0.79,2,1
2026-04-06,-0.76,1,1
2026-03-31,-0.34,4,3
2026-03-25,0.01,3,6
2026-01-01,0.07,0,1
2026-01-16,0.66,2,7
2026-03-09,0.68,10,11
2026-02-04,0.73,2,3
2026-03-13,0.88,2,8
