preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
toxic_7_8_10_11,Profit leader from round 3.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_10_11_XAUUSDc_M15_20260101_20260415.htm,48.95,48.95,1.13,0.09,521,52.21,30.82,37.25
toxic_7_8_9_10_impulsive,Best balanced round 3 preset.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_9_10_impulsive_XAUUSDc_M15_20260101_20260415.htm,44.98,44.98,1.13,0.09,516,52.71,25.48,32.02
toxic_7_8_10_11_impulsive,Profit leader plus impulsive high-score buys.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_10_11_impulsive_XAUUSDc_M15_20260101_20260415.htm,42.34,42.34,1.12,0.08,507,52.86,25.09,31.09
toxic_7_8_9_10_11,Block the full bad morning cluster plus 11.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_9_10_11_XAUUSDc_M15_20260101_20260415.htm,55.66,55.66,1.16,0.11,510,52.35,28.13,35.3
toxic_7_8_9_10_11_impulsive,Full morning toxic block plus impulsive high-score buys.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_9_10_11_impulsive_XAUUSDc_M15_20260101_20260415.htm,58.96,58.96,1.17,0.12,498,53.01,22.71,29.17
toxic_7_8_10_11_sideways_half,Profit leader plus lighter sideways participation.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_10_11_sideways_half_XAUUSDc_M15_20260101_20260415.htm,45.74,45.74,1.15,0.08,588,46.77,29.12,35.29
toxic_7_8_9_10_impulsive_sideways_half,Balanced leader plus lighter sideways participation.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_9_10_impulsive_sideways_half_XAUUSDc_M15_20260101_20260415.htm,48.28,48.28,1.16,0.09,564,49.47,24.56,30.14
toxic_7_8_10_11_sell100,Profit leader plus full sell size.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_10_11_sell100_XAUUSDc_M15_20260101_20260415.htm,49.29,49.29,1.13,0.09,521,52.21,30.72,37.76
toxic_7_8_9_10_impulsive_sell100,Balanced leader plus full sell size.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_9_10_impulsive_sell100_XAUUSDc_M15_20260101_20260415.htm,53.52,53.52,1.15,0.1,513,53.02,25.16,32.65
toxic_7_8_9_10_11_break036,Full morning toxic block plus stronger buy break threshold.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round4_toxic_7_8_9_10_11_break036_XAUUSDc_M15_20260101_20260415.htm,36.44,36.44,1.11,0.07,507,51.87,30.91,32.86
