time,closed_direction,profit,volume,balance,reason,comment
2026-01-12 23:12:20,buy,-25.03,1.00,98.80,sl,sl 4584.873
2026-01-07 01:57:40,buy,-25.02,1.00,148.84,sl,sl 4461.722
2026-02-04 11:16:00,buy,-25.02,1.00,80.64,sl,sl 5037.528
2026-01-08 02:33:30,buy,-25.01,1.00,123.83,sl,sl 4437.564
2026-01-12 23:12:30,buy,-25.01,1.00,73.79,sl,sl 4582.105
2026-01-26 19:03:27,buy,-25.01,1.00,118.15,sl,sl 5044.925
2026-01-26 19:03:27,buy,-25.01,1.00,93.14,sl,sl 5044.925
2026-01-27 14:05:39,buy,-25.01,1.00,86.90,sl,sl 5061.651
2026-01-26 18:42:39,buy,-25.00,1.00,143.16,sl,sl 5059.655
2026-01-23 08:22:41,buy,-24.99,1.00,130.63,sl,sl 4928.325
2026-02-05 12:11:40,buy,-24.98,1.00,55.66,sl,sl 4835.746
2026-03-16 11:19:27,sell,-12.51,0.50,21.24,sl,sl 5010.217
2026-03-30 13:48:41,buy,-12.51,0.50,33.91,sl,sl 4536.274
2026-01-13 20:35:16,buy,-12.50,0.50,61.29,sl,sl 4569.646
2026-04-14 10:39:38,buy,-12.50,0.50,15.33,sl,sl 4753.535
2026-01-14 15:02:41,buy,-6.25,0.25,55.04,sl,sl 4603.696
2026-01-15 01:31:03,buy,-6.25,0.25,48.34,sl,sl 4594.619
2026-01-15 01:31:03,buy,-6.25,0.25,41.64,sl,sl 4594.619
2026-03-09 00:05:42,buy,-5.02,0.25,33.75,sl,sl 5056.447
2026-02-05 20:23:38,buy,-5.01,0.25,50.65,sl,sl 4813.519
2026-02-05 20:38:40,buy,-5.01,0.25,45.64,sl,sl 4809.606
2026-03-06 11:56:42,buy,-5.01,0.25,33.07,sl,sl 5062.882
2026-03-30 18:55:41,buy,-5.01,0.25,28.90,sl,sl 4504.337
2026-03-31 00:20:21,buy,-5.01,0.25,18.89,sl,sl 4493.789
2026-03-04 18:20:31,buy,-5.00,0.25,44.13,sl,sl 5114.255
2026-03-05 15:08:19,buy,-5.00,0.25,39.13,sl,sl 5082.536
2026-03-05 15:08:28,buy,-5.00,0.25,34.13,sl,sl 5077.731
2026-03-30 18:57:30,buy,-5.00,0.25,23.90,sl,sl 4502.702
2026-04-10 08:47:38,buy,-4.26,0.25,12.21,sl,sl 4734.329
2026-01-16 13:16:39,buy,-2.10,0.25,39.54,sl,sl 4588.161
2026-04-07 01:00:29,buy,-2.07,0.12,16.75,sl,sl 4641.564
2026-04-07 01:00:29,buy,-1.95,0.12,14.73,sl,sl 4640.860
2026-04-07 01:00:30,buy,-1.78,0.12,12.88,sl,sl 4640.742
2026-04-09 06:54:15,buy,-1.20,0.06,11.68,sl,sl 4703.396
