date,pnl,losses,wins
2026-01-12,-50.04,2,0
2026-01-26,-37.49,3,1
2026-02-05,-35.00,3,0
2026-01-07,-25.02,1,0
2026-02-04,-25.02,1,0
2026-01-08,-25.01,1,0
2026-01-23,-24.99,1,0
2026-03-16,-12.51,1,0
2026-01-13,-12.50,1,0
2026-01-15,-12.50,2,0
2026-04-14,-12.50,1,0
2026-03-05,-10.00,2,0
2026-01-14,-6.25,1,0
2026-04-07,-5.80,3,0
2026-03-09,-5.02,1,0
2026-03-31,-5.01,1,0
2026-04-10,-4.26,1,0
2026-01-16,-2.10,1,0
2026-03-04,-1.51,1,1
2026-03-30,2.66,3,2
2026-04-09,3.59,1,2
2026-03-06,4.64,1,2
2026-01-27,12.52,1,2
2026-04-13,15.62,0,2
2026-01-06,37.52,0,1
2026-01-05,37.54,0,1
2026-01-22,50.04,0,1
2026-01-20,66.28,0,5
