time,closed_direction,profit,volume,balance,reason,comment
2026-02-24 23:03:00,buy,-3.26,0.14,114.18,sl,sl 5144.519
2026-03-19 22:51:38,buy,-2.65,0.22,130.97,sl,sl 4644.107
2026-03-17 06:01:30,buy,-2.64,0.22,133.62,sl,sl 5016.149
2026-03-24 11:01:28,buy,-2.52,0.21,128.45,sl,sl 4412.803
2026-04-07 05:27:42,buy,-2.52,0.21,124.87,sl,sl 4636.198
2026-03-10 07:23:20,buy,-2.40,0.20,131.44,sl,sl 5161.221
2026-03-16 22:24:31,buy,-2.40,0.20,132.83,sl,sl 4999.426
2026-01-26 16:29:15,buy,-2.07,0.15,103.49,sl,sl 5070.841
2026-01-08 00:41:05,buy,-1.92,0.16,101.00,sl,sl 4450.564
2026-01-26 13:00:37,buy,-1.92,0.16,105.56,sl,sl 5076.654
2026-01-12 14:10:26,buy,-1.68,0.14,97.43,sl,sl 4595.105
2026-01-12 20:42:42,buy,-1.68,0.12,95.75,sl,sl 4595.885
2026-03-25 14:00:40,buy,-1.12,0.07,126.25,sl,sl 4535.496
2026-03-25 12:28:41,buy,-1.08,0.09,127.37,sl,sl 4543.500
2026-01-08 05:30:42,buy,-0.60,0.03,100.54,sl,sl 4420.483
2026-01-08 05:32:41,buy,-0.60,0.03,99.94,sl,sl 4420.263
2026-02-05 05:07:41,buy,-0.60,0.03,111.20,sl,sl 4860.591
2026-02-05 05:13:30,buy,-0.60,0.03,110.60,sl,sl 4855.108
2026-02-05 05:30:43,buy,-0.60,0.03,110.00,sl,sl 4848.884
2026-01-16 13:16:39,buy,-0.59,0.07,100.23,sl,sl 4588.161
2026-01-08 12:15:21,buy,-0.56,0.06,98.83,sl,sl 4411.860
2026-01-08 12:14:42,buy,-0.55,0.04,99.39,sl,sl 4412.000
2026-02-05 09:56:30,buy,-0.20,0.01,109.80,sl,sl 4854.029
2026-02-05 12:11:13,buy,-0.20,0.01,109.60,sl,sl 4843.112
2026-02-05 23:38:38,buy,-0.16,0.01,109.30,sl,sl 4736.964
2026-02-05 23:36:41,buy,-0.14,0.01,109.46,sl,sl 4747.418
2026-03-12 18:49:40,buy,-0.07,0.01,131.37,sl,sl 5092.765
2026-02-17 00:52:20,buy,-0.06,0.01,117.44,sl,sl 4964.457
