time,closed_direction,profit,volume,balance,reason,comment
2026-02-24 23:03:00,buy,-2.10,0.09,112.04,sl,sl 5144.519
2026-03-09 13:43:05,buy,-1.56,0.13,117.60,sl,sl 5074.757
2026-03-19 22:51:38,buy,-1.45,0.12,112.31,sl,sl 4644.107
2026-02-27 10:12:39,buy,-1.44,0.12,113.23,sl,sl 5169.406
2026-03-17 06:01:30,buy,-1.44,0.12,113.76,sl,sl 5016.149
2026-03-24 11:01:28,buy,-1.44,0.12,110.87,sl,sl 4412.803
2026-01-08 00:41:05,buy,-1.32,0.11,99.05,sl,sl 4450.564
2026-02-26 07:09:35,buy,-1.32,0.11,114.67,sl,sl 5183.291
2026-03-10 07:23:20,buy,-1.32,0.11,116.28,sl,sl 5161.221
2026-03-13 06:24:14,buy,-1.32,0.11,116.94,sl,sl 5094.808
2026-03-13 14:16:38,buy,-1.32,0.11,115.62,sl,sl 5088.938
2026-03-16 22:24:31,buy,-1.32,0.11,114.30,sl,sl 4999.426
2026-01-26 16:29:15,buy,-1.24,0.09,102.97,sl,sl 5070.841
2026-01-07 01:07:21,buy,-1.20,0.10,100.37,sl,sl 4474.722
2026-01-12 14:10:26,buy,-1.08,0.09,97.97,sl,sl 4595.105
2026-01-14 14:49:42,buy,-0.60,0.05,97.53,sl,sl 4607.619
2026-03-25 12:28:41,buy,-0.60,0.05,109.73,sl,sl 4543.500
2026-01-12 20:42:42,buy,-0.56,0.04,97.41,sl,sl 4595.885
2026-03-25 05:29:42,buy,-0.54,0.04,110.33,sl,sl 4553.644
2026-02-05 20:23:38,buy,-0.40,0.02,109.41,sl,sl 4813.519
2026-02-05 20:38:40,buy,-0.40,0.02,109.01,sl,sl 4809.606
2026-03-30 13:41:40,buy,-0.36,0.03,109.05,sl,sl 4549.274
2026-01-16 13:16:39,buy,-0.34,0.04,97.65,sl,sl 4588.161
2026-03-25 14:00:40,buy,-0.32,0.02,109.41,sl,sl 4535.496
2026-02-05 23:35:42,buy,-0.20,0.01,108.81,sl,sl 4748.622
2026-02-05 23:36:41,buy,-0.14,0.01,108.67,sl,sl 4747.418
2026-04-07 05:27:42,buy,-0.12,0.01,108.83,sl,sl 4636.198
2026-03-30 18:55:42,buy,-0.10,0.01,108.95,sl,sl 4504.172
2026-04-10 08:47:39,buy,-0.09,0.01,108.92,sl,sl 4733.686
