date,pnl,losses,wins
2026-03-13,-2.64,2,0
2026-02-24,-2.10,1,0
2026-01-12,-1.64,2,0
2026-03-09,-1.56,1,0
2026-03-25,-1.46,3,0
2026-03-19,-1.45,1,0
2026-02-27,-1.44,1,0
2026-03-24,-1.44,1,0
2026-01-08,-1.32,1,0
2026-03-16,-1.32,1,0
2026-01-07,-1.20,1,0
2026-02-05,-1.14,4,0
2026-03-17,-0.54,1,1
2026-03-30,-0.46,2,0
2026-04-07,-0.12,1,0
2026-04-10,-0.09,1,0
2026-01-16,0.12,1,4
2026-01-14,0.12,1,1
2026-04-09,0.18,0,1
2026-03-10,0.66,1,1
2026-02-26,0.67,1,1
2026-01-19,1.62,0,1
2026-01-05,1.63,0,1
2026-02-09,1.93,0,1
2026-02-25,1.96,0,1
2026-01-20,3.24,0,2
2026-02-11,3.54,0,1
2026-01-27,3.60,0,2
2026-01-26,3.80,1,2
2026-03-04,5.93,0,3
