preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
r150_manage,Round3 champion control.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r150_manage_XAUUSDc_M15_20260101_20260415.htm,23.15,23.15,1.83,0.34,69,62.32,6.82,7.43
r150_sideways35_manage,Champion plus more permissive sideways regime.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r150_sideways35_manage_XAUUSDc_M15_20260101_20260415.htm,24.32,24.32,1.78,0.27,91,62.64,6.84,7.45
r150_allsell_manage,Champion plus all sell hours.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r150_allsell_manage_XAUUSDc_M15_20260101_20260415.htm,23.4,23.4,1.8,0.33,72,61.11,6.8,7.41
r150_sideways35_allsell_manage,Champion plus sideways35 and all sell hours.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r150_sideways35_allsell_manage_XAUUSDc_M15_20260101_20260415.htm,24.59,24.59,1.75,0.26,93,62.37,6.91,7.54
r180_manage,Slightly harder risk.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r180_manage_XAUUSDc_M15_20260101_20260415.htm,28.11,28.110000000000003,1.79,0.4,71,60.56,8.36,9.08
r180_sideways35_manage,Harder risk plus sideways35.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r180_sideways35_manage_XAUUSDc_M15_20260101_20260415.htm,25.73,25.730000000000004,1.51,0.21,125,55.2,11.66,12.36
r180_allsell_manage,Harder risk plus all sell hours.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r180_allsell_manage_XAUUSDc_M15_20260101_20260415.htm,28.09,28.09,1.76,0.38,74,59.46,8.36,9.09
r200_manage,Push risk harder.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r200_manage_XAUUSDc_M15_20260101_20260415.htm,24.83,24.83,1.64,0.33,75,56.0,9.36,10.16
r150_sideways35_sell80_manage,Champion plus sideways35 and looser sell score.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r150_sideways35_sell80_manage_XAUUSDc_M15_20260101_20260415.htm,24.32,24.32,1.78,0.27,91,62.64,6.84,7.45
r150_sideways35_buy68_manage,Champion plus slightly looser buy score.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round4_r150_sideways35_buy68_manage_XAUUSDc_M15_20260101_20260415.htm,24.32,24.32,1.78,0.27,91,62.64,6.84,7.45
