date,pnl,losses,wins
2026-01-08,-3.81,5,4
2026-01-12,-3.36,2,0
2026-02-24,-3.26,1,0
2026-03-24,-2.52,1,0
2026-04-07,-2.52,1,0
2026-02-05,-2.50,7,0
2026-03-10,-2.40,1,0
2026-03-25,-2.20,2,0
2026-03-19,-0.84,1,0
2026-04-10,-0.08,1,0
2026-03-12,-0.07,1,0
2026-02-17,-0.06,1,0
2026-01-07,0.30,0,1
2026-02-27,0.37,0,1
2026-03-13,0.38,0,1
2026-01-20,0.70,0,3
2026-03-17,0.79,1,1
2026-03-16,1.08,1,1
2026-03-30,1.16,0,2
2026-01-16,1.82,1,7
2026-01-14,2.66,0,3
2026-01-05,2.71,0,1
2026-02-09,2.89,0,1
2026-02-25,2.93,0,1
2026-02-26,3.08,0,1
2026-01-27,3.30,0,2
2026-04-09,3.42,0,1
2026-03-09,3.44,0,1
2026-01-26,3.73,2,2
2026-01-19,3.92,0,5
2026-02-11,5.31,0,1
2026-03-04,9.84,0,3
